Date,Equity,Fixed Income,Cash,Bar - Chart Purpose
Jul-07,47.88%,48.20%,3.93%,
Aug-07,45.93%,49.13%,4.94%,
Sep-07,45.32%,48.85%,5.83%,
Oct-07,43.36%,50.94%,5.70%,
Nov-07,42.40%,52.94%,4.67%,
Dec-07,43.91%,50.33%,5.76%,
Jan-08,47.57%,49.63%,2.80%,
Feb-08,48.30%,48.57%,3.14%,
Mar-08,46.95%,49.15%,3.90%,
Apr-08,49.81%,46.87%,3.32%,
May-08,48.75%,48.42%,2.83%,
Jun-08,48.61%,48.82%,2.57%,
Jul-08,47.91%,50.22%,1.87%,
Aug-08,46.93%,51.38%,1.69%,
Sep-08,41.73%,52.93%,5.34%,
Oct-08,40.88%,55.34%,3.78%,
Nov-08,40.55%,55.56%,3.89%,
Dec-08,36.70%,59.76%,3.54%,
Jan-09,36.38%,62.82%,0.80%,
Feb-09,34.77%,66.18%,-0.95%,
Mar-09,32.98%,63.75%,3.26%,100.00%
Apr-09,33.08%,65.07%,1.85%,100.00%
May-09,33.12%,65.45%,1.43%,100.00%
Jun-09,31.53%,67.84%,0.63%,100.00%
Jul-09,31.75%,66.95%,1.30%,100.00%
Aug-09,31.74%,65.97%,2.29%,100.00%
Sep-09,32.42%,65.65%,1.93%,100.00%
Oct-09,32.86%,67.22%,-0.08%,100.00%
Nov-09,34.00%,64.98%,1.02%,
Dec-09,35.30%,63.10%,1.60%,
Jan-10,35.30%,63.10%,1.60%,
Feb-10,37.48%,60.97%,1.55%,
Mar-10,38.69%,60.92%,0.39%,
Apr-10,39.76%,59.10%,1.14%,
May-10,39.36%,59.95%,0.69%,
Jun-10,38.39%,61.44%,0.17%,
Jul-10,38.89%,59.04%,2.07%,
Aug-10,38.87%,60.27%,0.86%,
Sep-10,39.46%,59.16%,1.38%,
Oct-10,41.35%,56.57%,2.08%,
Nov-10,42.87%,56.13%,1.00%,
Dec-10,44.26%,54.97%,0.77%,
Jan-11,44.71%,54.83%,0.46%,
Feb-11,45.97%,53.47%,0.56%,
Mar-11,45.52%,54.00%,0.48%,
Apr-11,45.95%,53.48%,0.57%,
May-11,46.14%,53.78%,0.08%,
Jun-11,45.99%,53.76%,0.26%,
Jul-11,45.78%,53.98%,0.23%,
Aug-11,44.42%,54.31%,1.27%,
Sep-11,42.79%,56.64%,0.57%,
Oct-11,43.48%,55.08%,1.44%,
Nov-11,44.30%,54.92%,0.78%,
Dec-11,44.13%,54.79%,1.09%,
Jan-12,44.12%,52.56%,3.32%,
Feb-12,43.96%,52.27%,3.77%,
Mar-12,45.87%,51.76%,2.37%,
Apr-12,47.25%,52.20%,0.55%,
May-12,47.18%,52.46%,0.36%,
Jun-12,48.59%,50.67%,0.73%,100.00%
Jul-12,49.16%,49.85%,1.00%,100.00%
Aug-12,51.18%,48.63%,0.19%,100.00%
Sep-12,52.14%,46.62%,1.24%,100.00%
Oct-12,53.49%,44.44%,2.07%,100.00%
Nov-12,55.36%,44.46%,0.18%,
Dec-12,55.66%,44.29%,0.05%,
Jan-13,55.77%,42.45%,1.79%,
Feb-13,58.39%,40.43%,1.18%,
Mar-13,59.90%,38.78%,1.32%,
Apr-13,61.87%,36.90%,1.24%,
May-13,62.02%,36.98%,1.00%,
Jun-13,63.95%,35.90%,0.15%,
Jul-13,64.28%,35.68%,0.04%,
Aug-13,64.18%,35.79%,0.03%,
Sep-13,63.41%,36.54%,0.05%,
Oct-13,63.25%,34.87%,1.88%,
Nov-13,62.23%,35.72%,2.04%,
Dec-13,63.06%,36.10%,0.84%,
Jan-14,61.64%,37.91%,0.45%,
Feb-14,61.32%,37.90%,0.77%,
Mar-14,61.80%,37.54%,0.66%,
Apr-14,61.89%,37.74%,0.37%,
May-14,60.66%,38.21%,1.12%,
Jun-14,60.84%,38.23%,0.92%,
Jul-14,61.74%,38.11%,0.15%,
Aug-14,61.32%,37.95%,0.73%,
Sep-14,60.64%,38.89%,0.47%,
Oct-14,59.08%,40.31%,0.61%,
Nov-14,57.26%,39.79%,2.94%,
Dec-14,57.09%,41.35%,1.55%,
Jan-15,55.39%,41.76%,2.86%,
Feb-15,55.51%,41.93%,2.56%,
Mar-15,55.13%,42.49%,2.37%,
Apr-15,57.26%,41.82%,0.92%,
May-15,57.48%,40.58%,1.93%,
Jun-15,57.58%,40.44%,1.98%,
Jul-15,57.99%,35.30%,6.72%,
Aug-15,60.73%,35.27%,4.00%,
Sep-15,65.69%,33.62%,0.69%,100.00%
Oct-15,64.87%,31.98%,3.15%,100.00%
Nov-15,65.91%,32.71%,1.38%,100.00%
Dec-15,61.83%,34.09%,4.08%,100.00%
Jan-16,61.21%,35.85%,2.95%,100.00%
Feb-16,62.56%,36.34%,1.10%,100.00%
Mar-16,60.68%,37.43%,1.89%,100.00%
Apr-16,61.19%,38.86%,-0.05%,100.00%
May-16,58.09%,41.05%,0.86%,100.00%
Jun-16,56.69%,40.82%,2.49%,100.00%
Jul-16,58.06%,41.57%,0.37%,100.00%
Aug-16,56.44%,41.09%,2.48%,100.00%
Sep-16,57.79%,41.06%,1.16%,100.00%
Oct-16,58.18%,38.32%,3.49%,100.00%
Nov-16,59.77%,38.00%,2.22%,100.00%
Dec-16,59.39%,37.65%,2.96%,100.00%
Jan-17,59.43%,38.27%,2.29%,
Feb-17,58.93%,39.48%,1.59%,
Mar-17,55.64%,41.02%,3.34%,
Apr-17,53.16%,42.97%,3.88%,
May-17,53.64%,41.68%,4.67%,
Jun-17,53.64%,41.47%,4.89%,
